,,,,,Adjusted,,,,Plus/Minus,,,,,Point Shares,,,Shootouts,,,,Possession Quality,,,
Rk,Player,Age,Pos,GP,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,OPS,DPS,PS,Att,Made,Miss,Pct,xGF,xGA,E+/-,Awards
1,Travis Konecny,26,C,76,32,34,66,26.7,94,17,91,18,4,5.9,2.1,8,2,0,2,0,56.8,47.1,9.7,ASG
2,Owen Tippett,24,RW,78,27,24,51,21.3,72,13,64,0,-5,4.5,1.5,6,1,0,1,0,52.3,43.2,9.1,Byng-70
3,Joel Farabee,23,LW,82,21,27,48,18.8,64,11,68,2,-13,3.5,1.3,4.7,0,0,0,,53.3,42.8,10.5,
4,Travis Sanheim,27,D,81,10,33,43,14.5,88,12,121,25,-20,3,3.3,6.3,0,0,0,,65.6,61.1,4.5,
5,Morgan Frost,24,C,71,13,27,40,14.5,56,14,38,0,4,2.3,1.6,3.9,2,1,1,50,45.1,31.5,13.7,
6,Scott Laughton,29,C,82,13,25,38,13.9,62,8,82,19,-9,1.6,1.3,3,0,0,0,,41.4,43.7,-2.2,Selke-37
7,Sean Couturier,31,C,74,11,26,37,13.1,71,15,71,5,-10,1.2,1.4,2.6,7,3,4,42.9,45.9,39.4,6.6,
8,Tyson Foerster,22,RW,77,20,12,32,14.2,73,18,55,0,0,1.6,1.7,3.3,5,1,4,20,46.9,35.2,11.7,"AR-4,Calder-7,Selke-37"
9,Cameron York,23,D,82,10,19,29,10.6,81,9,109,24,-13,1.7,3.6,5.3,0,0,0,,62.5,54.9,7.6,
10,Cam Atkinson,34,RW,70,13,14,27,10.9,46,13,61,6,-22,1,0.7,1.6,1,0,1,0,37.8,32.6,5.1,
11,Ryan Poehling,25,C,77,11,16,27,10.4,44,3,62,10,-11,0.7,1.1,1.8,0,0,0,,41.8,33.1,8.7,Byng-27
12,Bobby Brink,22,RW,57,11,12,23,9.3,36,7,28,0,1,1.2,1.1,2.3,4,1,3,25,26.5,25.6,0.9,
13,Sean Walker,29,D,63,6,15,21,7.4,61,1,58,7,9,1.3,3.7,5,0,0,0,,50.7,37.2,13.5,
14,Yegor Zamula,23,D,66,5,15,20,6.8,54,10,41,0,3,1.3,2.8,4.1,0,0,0,,35.3,34.4,0.9,
15,Noah Cates,24,LW,59,6,12,18,6.6,28,0,46,10,-8,0.1,0.8,0.9,0,0,0,,31.3,21.8,9.4,Byng-33
16,Garnet Hathaway,32,RW,82,7,10,17,6.6,35,0,51,9,-7,-0.4,1.1,0.6,0,0,0,,33.9,26.4,7.4,
17,Nick Seeler,30,D,71,1,12,13,3.8,56,0,55,8,9,-0.1,3.6,3.5,0,0,0,,48,37.7,10.2,
18,Olle Lycksell,24,RW,18,1,4,5,1.6,6,0,6,0,0,0.1,0.2,0.3,0,0,0,,8.1,4,4.1,
19,Jamie Drysdale,21,D,24,2,3,5,1.9,13,5,26,0,-18,0.1,-0.2,0,0,0,0,,14.7,14.5,0.2,
20,Marc Staal,37,D,35,1,4,5,1.6,20,0,26,8,2,0,1.3,1.3,0,0,0,,23.1,18.1,4.9,
21,Rasmus Ristolainen,29,D,31,1,3,4,1.4,20,1,25,0,-6,-0.1,0.8,0.7,0,0,0,,21.1,16,5.1,
22,Nicolas Deslauriers,32,LW,60,1,3,4,1.4,9,0,16,0,-7,-0.9,0.4,-0.5,0,0,0,,13.2,16,-2.8,
23,Louis Belpedio,27,D,12,2,2,4,1.6,9,0,4,1,6,0.4,0.8,1.2,0,0,0,,4.9,4.9,0,
24,Erik Johnson,35,D,17,2,1,3,1.4,8,0,18,1,-9,0.2,0,0.2,0,0,0,,10.8,10.6,0.2,
25,Ronald Attard,24,D,12,0,2,2,0.6,6,0,8,3,1,0,0.5,0.5,0,0,0,,8.1,5.3,2.8,
26,Adam Ginning,24,D,9,1,0,1,0.6,4,0,4,0,0,0,0.3,0.4,0,0,0,,6.3,4.3,2,
27,Denis Gurianov,26,RW,4,0,0,0,0,0,0,0,0,0,-0.1,0.1,-0.1,0,0,0,,0.7,0.7,0,
28,Rhett Gardner,27,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.3,0.1,0.2,
29,Victor Mete,25,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.4,0.4,0,
30,Emil Andrae,21,D,4,0,0,0,0,2,0,3,0,-1,-0.1,0.1,0,0,0,0,,1.5,2.6,-1.1,
